"","natox","nation","nation2"
"4",4,21,3
"8",8,15,3
"10",10,22,3
"12",12,5,3
"16",16,22,3
"20",20,19,3
"24",24,5,3
"28",28,20,3
"31",31,19,3
"32",32,20,3
"36",36,7,3
"40",40,2,2
"44",44,20,3
"48",48,21,3
"50",50,9,3
"51",51,19,3
"52",52,20,3
"56",56,2,2
"60",60,20,3
"64",64,21,3
"68",68,20,3
"70",70,16,3
"72",72,5,3
"74",74,22,3
"76",76,20,3
"83",83,5,3
"84",84,20,3
"86",86,22,3
"90",90,22,3
"92",92,20,3
"96",96,21,3
"100",100,10,2
"104",104,21,3
"108",108,5,3
"112",112,19,3
"116",116,21,3
"120",120,5,3
"124",124,20,3
"132",132,5,3
"136",136,20,3
"140",140,5,3
"144",144,21,3
"148",148,5,3
"152",152,20,3
"156",156,21,3
"158",158,21,3
"162",162,22,3
"166",166,22,3
"170",170,20,3
"174",174,5,3
"175",175,5,3
"178",178,5,3
"180",180,5,3
"184",184,22,3
"188",188,20,3
"191",191,12,2
"192",192,20,3
"203",203,3,2
"204",204,5,3
"208",208,2,2
"212",212,20,3
"214",214,20,3
"218",218,20,3
"222",222,20,3
"226",226,5,3
"231",231,5,3
"232",232,5,3
"233",233,3,2
"234",234,19,3
"238",238,20,3
"239",239,22,3
"242",242,22,3
"246",246,2,2
"248",248,19,3
"250",250,2,2
"254",254,20,3
"258",258,22,3
"260",260,22,3
"262",262,5,3
"266",266,5,3
"268",268,19,3
"270",270,5,3
"275",275,21,3
"276",276,2,2
"288",288,5,3
"292",292,19,3
"296",296,22,3
"300",300,2,2
"304",304,20,3
"308",308,20,3
"312",312,20,3
"316",316,22,3
"320",320,20,3
"324",324,5,3
"328",328,20,3
"332",332,20,3
"334",334,22,3
"336",336,19,3
"340",340,20,3
"344",344,21,3
"348",348,3,2
"352",352,19,3
"356",356,8,3
"360",360,21,3
"364",364,21,3
"368",368,21,3
"372",372,2,2
"376",376,21,3
"380",380,2,2
"384",384,5,3
"388",388,20,3
"392",392,21,3
"398",398,21,3
"400",400,21,3
"404",404,5,3
"408",408,21,3
"410",410,21,3
"414",414,21,3
"417",417,21,3
"418",418,21,3
"422",422,21,3
"426",426,5,3
"428",428,3,2
"430",430,5,3
"434",434,5,3
"438",438,19,3
"440",440,3,2
"442",442,2,2
"446",446,21,3
"450",450,5,3
"454",454,5,3
"458",458,21,3
"462",462,21,3
"466",466,5,3
"470",470,11,2
"474",474,20,3
"478",478,5,3
"480",480,5,3
"484",484,20,3
"492",492,2,2
"496",496,21,3
"498",498,19,3
"499",499,17,3
"500",500,20,3
"504",504,5,3
"508",508,5,3
"512",512,21,3
"516",516,5,3
"520",520,22,3
"524",524,21,3
"528",528,2,2
"530",530,20,3
"533",533,20,3
"540",540,22,3
"548",548,22,3
"554",554,7,3
"558",558,20,3
"562",562,5,3
"566",566,5,3
"570",570,22,3
"574",574,22,3
"578",578,19,3
"580",580,22,3
"581",581,22,3
"583",583,22,3
"584",584,22,3
"585",585,22,3
"586",586,9,3
"591",591,20,3
"598",598,22,3
"600",600,20,3
"604",604,20,3
"608",608,21,3
"612",612,22,3
"616",616,3,2
"620",620,2,2
"624",624,5,3
"626",626,21,3
"630",630,20,3
"634",634,21,3
"638",638,5,3
"642",642,10,2
"643",643,19,3
"646",646,5,3
"654",654,5,3
"659",659,20,3
"660",660,20,3
"662",662,20,3
"666",666,20,3
"670",670,20,3
"674",674,19,3
"678",678,5,3
"682",682,21,3
"686",686,5,3
"688",688,18,3
"690",690,5,3
"694",694,5,3
"702",702,21,3
"703",703,3,2
"704",704,21,3
"705",705,3,2
"706",706,5,3
"710",710,6,3
"716",716,5,3
"732",732,5,3
"736",736,5,3
"740",740,20,3
"744",744,19,3
"748",748,5,3
"752",752,2,2
"756",756,19,3
"760",760,21,3
"762",762,21,3
"764",764,21,3
"768",768,5,3
"772",772,22,3
"776",776,22,3
"780",780,20,3
"784",784,21,3
"788",788,5,3
"792",792,14,3
"795",795,21,3
"796",796,20,3
"798",798,22,3
"800",800,5,3
"804",804,19,3
"807",807,13,3
"818",818,5,3
"834",834,5,3
"840",840,4,3
"850",850,20,3
"854",854,5,3
"858",858,20,3
"860",860,21,3
"862",862,20,3
"876",876,22,3
"882",882,22,3
"887",887,21,3
"891",891,19,3
"894",894,5,3
"901",901,11,2
"902",902,19,3
"903",903,19,3
"911",911,2,2
"912",912,2,2
"913",913,2,2
"926",926,1,1
"971",971,3,2
"972",972,19,3
"973",973,19,3
"974",974,19,3
"981",981,19,3
"982",982,5,3
"983",983,21,3
"984",984,21,3
"985",985,20,3
"986",986,20,3
"987",987,20,3
"988",988,20,3
"989",989,22,3
"991",991,22,3
"992",992,22,3
